Route Name,Date,Operation,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0764,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0765,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1468,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0907,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0908,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0909,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1808,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1803,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0911,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0955,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0766,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0770,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-5959,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0957,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0771,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Visited,Planned,Albada  Zone-2,Z2-BDB-0772,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0773,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0774,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0775,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0777,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1185,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0778,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-5811,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0779,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0780,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0781,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0782,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0783,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0959,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0960,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5813,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1869,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0786,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0789,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0961,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0965,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0966,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0703,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0704,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0705,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0707,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0968,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0969,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0970,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0971,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0972,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0712,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0974,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0715,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0976,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0716,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1809,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0717,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0718,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0721,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0977,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0979,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0723,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0724,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0725,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0726,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0727,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0728,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-5643,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0729,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0730,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0731,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0732,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0733,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0734,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0735,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0736,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0981,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0737,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0738,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4554,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0741,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0743,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0744,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0745,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0982,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0746,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0747,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0748,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0983,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0749,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0984,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-4769,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0801,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5845,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0853,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-5846,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0854,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0855,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0856,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0857,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0985,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0858,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0859,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0986,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0860,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0861,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0862,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0863,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0864,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0865,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0866,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0867,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0868,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0869,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0871,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0872,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0873,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0874,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0876,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0987,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1525,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0880,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0882,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0884,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0886,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0887,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0988,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0888,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0989,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0889,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0890,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0891,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0894,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0990,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0896,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0897,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0991,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0898,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0992,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0899,"1100L, 240L",1100L,1
