Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24141719,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:32:16 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2055,"1100L, 240L",240L,1
360-24141035,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:31:59 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0911,"1100L, 240L",1100L,1
360-24140728,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:31:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4994,"1100L, 240L",240L,1
360-24141682,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:30:57 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0731,"1100L, 240L",1100L,1
360-24141406,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:27:37 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5845,"1100L, 240L",1100L,1
360-24140833,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:27:36 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2500,"1100L, 240L",1100L,1
360-24141968,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:26:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3880,"1100L, 240L",1100L,1
360-24140693,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:25:06 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2674,"1100L, 240L",1100L,1
360-24141212,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:24:03 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0787,"1100L, 240L",1100L,1
360-24141219,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:23:04 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0788,"1100L, 240L",1100L,1
360-24140841,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:22:22 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0790,"1100L, 240L",1100L,1
360-24141200,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:21:53 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0789,"1100L, 240L",1100L,1
360-24141237,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:20:55 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0962,"1100L, 240L",1100L,1
360-24141243,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:19:57 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0963,"1100L, 240L",1100L,1
360-24141256,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:18:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0793,"1100L, 240L",1100L,1
360-24141249,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:18:03 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0792,"1100L, 240L",1100L,1
360-24141846,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:15:26 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1996,"1100L, 240L",240L,1
360-24141843,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:14:49 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1995,"1100L, 240L",240L,1
360-24141849,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:14:27 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1997,"1100L, 240L",240L,1
360-24141264,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:14:08 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0794,"1100L, 240L",1100L,1
360-24141259,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:12:56 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0967,"1100L, 240L",1100L,1
360-24140806,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:12:16 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2341,"1100L, 240L",240L,1
