Service Point,Coordinates
Z2-BDB-0886,"28.46373464323626, 35.02405934035778"
Z2-BDB-0884,"28.463994610297963, 35.02589263021946"
Z2-BDB-0882,"28.463280436211704, 35.026234947144985"
Z2-BDB-0880,"28.46279, 35.0260016"
Z2-BDB-1525,"28.464792, 35.013535"
Z2-BDB-0987,"28.46127140885524, 35.02701312303543"
Z2-BDB-0876,"28.46977, 35.0312016"
Z2-BDB-0874,"28.4615833, 35.0280066"
Z2-BDB-0873,"28.462900209492222, 35.027324594557285"
Z2-BDB-0872,"28.46288635624482, 35.02732392400503"
Z2-BDB-0871,"28.463708115949096, 35.02940699458122"
Z2-BDB-0869,"28.463528909212588, 35.029331892728806"
Z2-BDB-0868,"28.4631133, 35.0287033"
Z2-BDB-0867,"28.4613633, 35.0350316"
Z2-BDB-0866,"28.462871618745606, 35.02834618091583"
Z2-BDB-0865,"28.46291082048898, 35.02827174961567"
Z2-BDB-0864,"28.463385366755446, 35.02775240689516"
Z2-BDB-0863,"28.4635533, 35.0274733"
Z2-BDB-0862,"28.46643331778665, 35.025533214211464"
Z2-BDB-0861,"28.46643331778665, 35.025533214211464"
Z2-BDB-0860,"28.4665449, 35.0254533"
Z2-BDB-0986,"28.465617768862387, 35.025289468467236"
Z2-BDB-0859,"28.465617768862387, 35.025289468467236"
Z2-BDB-0858,"28.465384627409552, 35.025041699409485"
Z2-BDB-0985,"28.465329215711748, 35.025139935314655"
Z2-BDB-0857,"28.465708549465948, 35.02473894506693"
Z2-BDB-0856,"28.46603777587073, 35.02458605915308"
Z2-BDB-0855,"28.466142703676756, 35.024728551506996"
Z2-BDB-0854,"28.4662683, 35.02473"
Z2-BDB-0853,"28.46654944531094, 35.0246799364686"
Z2-BDB-0801,"28.466873658535718, 35.02443686127663"
Z2-BDB-0984,"28.4667033, 35.0237"
Z2-BDB-0749,"28.4643116, 35.0232766"
Z2-BDB-0983,"28.46417263725929, 35.0234055519104"
Z2-BDB-0748,"28.463635607996927, 35.02349004149437"
Z2-BDB-0747,"28.4625433, 35.0238133"
Z2-BDB-0746,"28.4624049, 35.0237866"
Z2-BDB-0982,"28.4617233, 35.0239966"
Z2-BDB-0745,"28.460462894258576, 35.024627298116684"
Z2-BDB-0744,"28.4605066, 35.02464"
Z2-BDB-0743,"28.4365533, 35.0049316"
Z2-BDB-0741,"28.45997153366064, 35.02396445721388"
Z2-BDB-0738,"28.46259072161768, 35.023027025163174"
Z2-BDB-0737,"28.463589332570532, 35.022780261933804"
Z2-BDB-0981,"28.463872879769315, 35.02272326499224"
Z2-BDB-0736,"28.463893512072165, 35.02285972237587"
Z2-BDB-0735,"28.46397810447177, 35.02275712788105"
Z2-BDB-0734,"28.4641566, 35.0226966"
Z2-BDB-0733,"28.464004336944313, 35.022250190377235"
Z2-BDB-0732,"28.464069181230517, 35.02227500081062"
Z2-BDB-0731,"28.4669649, 35.0195883"
Z2-BDB-0730,"28.4643416, 35.0221516"
Z2-BDB-0729,"28.46509, 35.0204349"
Z2-BDB-0728,"28.465105210679756, 35.0230223312974"
Z2-BDB-0727,"28.465307994202746, 35.02294488251209"
Z2-BDB-0726,"28.465307994202746, 35.02294488251209"
Z2-BDB-0725,"28.465621011028126, 35.02299249172211"
Z2-BDB-0724,"28.465886278798443, 35.0229237601161"
Z2-BDB-0723,"28.4668616, 35.0223833"
Z2-BDB-0979,"28.4683333, 35.0006066"
Z2-BDB-0977,"28.466356980080626, 35.021808966994286"
Z2-BDB-0721,"28.46628241076242, 35.02127856016159"
Z2-BDB-0718,"28.465292962297983, 35.02104889601469"
Z2-BDB-0717,"28.4650233, 35.02095"
Z2-BDB-0716,"28.465700591429137, 35.021712742745876"
Z2-BDB-0976,"28.4646, 35.0215249"
Z2-BDB-0715,"28.4638549, 35.021615"
Z2-BDB-0974,"28.4606566, 35.0227549"
Z2-BDB-0712,"28.4680033, 35.0220966"
Z2-BDB-0972,"28.463295, 35.02114"
Z2-BDB-0971,"28.463506803097392, 35.021118968725204"
Z2-BDB-0970,"28.4638451735277, 35.0208929926157"
Z2-BDB-0969,"28.4642033, 35.0202833"
Z2-BDB-0968,"28.47514, 35.0017966"
Z2-BDB-0707,"28.465472460785932, 35.02023048698902"
Z2-BDB-0705,"28.465472755528673, 35.02023484557867"
Z2-BDB-0704,"28.466122956035825, 35.02081252634525"
Z2-BDB-0703,"28.466363759106937, 35.021429769694805"
Z2-BDB-0966,"28.46670182565049, 35.01970745623112"
Z2-BDB-0965,"28.4648416, 35.0205216"
Z2-BDB-0701,"28.464125, 35.0222349"
Z2-BDB-0798,"28.451350686991752, 35.02568744122982"
Z2-BDB-0796,"28.4521116, 35.02547"
Z2-BDB-0795,"28.4581016, 35.0219483"
Z2-BDB-0794,"28.4586916, 35.0209583"
Z2-BDB-0967,"28.4585816, 35.0207333"
Z2-BDB-0793,"28.461586795664935, 35.02057917416096"
Z2-BDB-0792,"28.4615766, 35.0207"
Z2-BDB-0963,"28.4626883, 35.0200583"
Z2-BDB-0962,"28.4631566, 35.0198516"
Z2-BDB-0791,"28.4641833, 35.020575"
Z2-BDB-0788,"28.4646083, 35.0194083"
Z2-BDB-0787,"28.4664633, 35.0190366"
Z2-BDB-0961,"28.465000576587656, 35.01848839223385"
Z2-BDB-0786,"28.4651966, 35.0185233"
Z2-BDB-0960,"28.4598516, 35.02756"
Z2-BDB-0959,"28.459885169504293, 35.02860836684704"
Z2-BDB-0783,"28.4641866, 35.0328816"
Z2-BDB-0781,"28.459885, 35.0336933"
Z2-BDB-0780,"28.4604349, 35.0306633"
Z2-BDB-0779,"28.457415, 35.032465"
Z2-BDB-0778,"28.45969475544952, 35.03203991800547"
Z2-BDB-0777,"28.459692397378568, 35.032038912177086"
Z2-BDB-0775,"28.460584333958373, 35.031744204461575"
Z2-BDB-0774,"28.4611066, 35.0320483"
Z2-BDB-0773,"28.461083355337667, 35.033564418554306"
Z2-BDB-0772,"28.461084534357635, 35.034135058522224"
Z2-BDB-0771,"28.461115, 35.0342733"
Z2-BDB-0957,"28.461018509219567, 35.03486428409815"
Z2-BDB-0770,"28.460928608853624, 35.0356213375926"
Z2-BDB-0766,"28.4594683, 35.0370299"
Z2-BDB-0955,"28.4599466, 35.03669"
Z2-BDB-1468,"28.471232, 35.003245"
Z2-BDB-0765,"28.469650061962447, 35.0276467949152"
Z2-BDB-0764,"28.46962, 35.02788"
Z2-BDB-0954,"28.4692516, 35.028385"
Z2-BDB-0762,"28.468085028237418, 35.0295065715909"
Z2-BDB-0760,"28.466744857582793, 35.03112159669399"
Z2-BDB-0759,"28.4664733, 35.031465"
Z2-BDB-0953,"28.465048, 35.032944"
Z2-BDB-0758,"28.46435714832989, 35.03311984241009"
Z2-BDB-0756,"28.463575, 35.0351383"
Z2-BDB-0755,"28.46321, 35.0354266"
Z2-BDB-0754,"28.4615266, 35.0374316"
Z2-BDB-0515,"28.462635, 35.026295"
Z2-BDB-0578,"28.464333, 35.020184"
Z2-BDB-0454,"28.463648, 35.036297"
Z2-BDB-3880,"28.467233, 35.019505"
Z2-BDC-0158,"28.57140346028428, 35.0351345166564"
Z2-BDC-0159,"28.571451455101386, 35.03517106175423"
Z2-BDC-0160,"28.5717949, 35.0352049"
Z2-BDC-0161,"28.570778, 35.034625"
Z2-BDC-0162,"28.570715, 35.034645"
Z2-BDC-0163,"28.570715, 35.034645"
Z2-BDC-0164,"28.562817, 35.035218"
Z2-BDC-0165,"28.554155, 35.03325"
Z2-BDB-0178,"28.464153, 35.029"
Z2-BDB-0069,"28.470548, 35.003687"
Z2-BDB-2500,"28.46729, 35.01959"
